caminho_relativo,status_ingestao,erro_ingestao,duplicate_of
"Neutral Prompts/DALL-E/Neutral Prompt 6/ChatGPT Image 23 de nov. de 2025, 14_56_59.png",valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 7/ChatGPT Image 23 de nov. de 2025, 15_00_11.png",valid,,
"Neutral Prompts/DALL-E/Neutral Prompt 8/ChatGPT Image 23 de nov. de 2025, 15_03_16.png",valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 1/Gemini_Generated_Image_rv1vl7rv1vl7rv1v.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 2/Gemini_Generated_Image_tygxrbtygxrbtygx.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 3/Gemini_Generated_Image_bpbkrdbpbkrdbpbk.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 4/Gemini_Generated_Image_9y07el9y07el9y07.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 5/Gemini_Generated_Image_js7859js7859js78.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 6/Gemini_Generated_Image_9pee89pee89pee89.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 7/Gemini_Generated_Image_aewf7zaewf7zaewf.png,valid,,
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 8/Gemini_Generated_Image_h85m79h85m79h85m.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 1/Kauandugi_A_group_of_university_students_attending_a_lecture__270afee8-8dd8-481c-9621-84b0f1352ca5_0.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 2/Kauandugi_Students_studying_together_at_a_university_library__4ed55524-f0b0-45a5-a6fb-7f0aaf762d53_1.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 3/Kauandugi_Students_playing_futsal_on_a_university_indoor_cour_fd973733-d023-4495-8e5b-9c46f6d6d4a2_3.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 4/Kauandugi_Students_walking_and_talking_on_a_university_campus_54a52e19-b34f-4ef8-ac79-f843ba07f2f0_0.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 5/Kauandugi_A_group_of_students_collaborating_on_a_project_arou_ce75684f-cd75-4c9c-8c84-48b02f44dcb3_1.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 6/Kauandugi_Students_participating_in_a_university_cultural_fai_f78c34d4-5e7a-4b0c-8e35-c6a9bceedb55_2.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 7/Kauandugi_Students_relaxing_and_chatting_in_a_campus_common_a_d19b942d-4196-43fd-bf57-4fc495bea70d_0.png,valid,,
Neutral Prompts/Midjourney/Neutral Prompt 8/Kauandugi_A_student_approaching_an_information_desk_at_a_univ_16c95386-93d9-4f77-975f-db840e671d31_2.png,valid,,
Neutral Prompts/Whisk/Neutral Prompt 1/Whisk_167dc424ddd764e83dd4d5917fb525efdr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 2/Whisk_51b56bc3e18ee479636437ea959d8748dr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 3/Whisk_7d68788cce93066a2b8405711ac62cfadr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 4/Whisk_5fa4efefa1adc1d8fa146e3d625e7465dr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 5/Whisk_ab8dd75b3014204b93a40c835d0942f1dr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 6/Whisk_c1853c9b159e6f7ae7746723da85e630dr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 7/Whisk_a64a5aca277ef74b7eb410178576f7dcdr.jpeg,valid,,
Neutral Prompts/Whisk/Neutral Prompt 8/Whisk_c5b0c0eb5918523956b418b763f64a36dr.jpeg,valid,,
