relative_path,source_image_id,modelo_ia,tipo_prompt,prompt_id,pair_id,analysis_eligible
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 3/Gemini_Generated_Image_571g8c571g8c571g.png,NB_P3_I,Gemini (NanoBanana),Inclusive Prompts,P3,NB_P3,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 3/Gemini_Generated_Image_bpbkrdbpbkrdbpbk.png,NB_P3_N,Gemini (NanoBanana),Neutral Prompts,P3,NB_P3,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 4/Gemini_Generated_Image_dcscy0dcscy0dcsc.png,NB_P4_I,Gemini (NanoBanana),Inclusive Prompts,P4,NB_P4,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 4/Gemini_Generated_Image_9y07el9y07el9y07.png,NB_P4_N,Gemini (NanoBanana),Neutral Prompts,P4,NB_P4,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 5/Gemini_Generated_Image_dwlq0xdwlq0xdwlq.png,NB_P5_I,Gemini (NanoBanana),Inclusive Prompts,P5,NB_P5,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 5/Gemini_Generated_Image_js7859js7859js78.png,NB_P5_N,Gemini (NanoBanana),Neutral Prompts,P5,NB_P5,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 6/Gemini_Generated_Image_wodov4wodov4wodo.png,NB_P6_I,Gemini (NanoBanana),Inclusive Prompts,P6,NB_P6,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 6/Gemini_Generated_Image_9pee89pee89pee89.png,NB_P6_N,Gemini (NanoBanana),Neutral Prompts,P6,NB_P6,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 7/Gemini_Generated_Image_cpj66jcpj66jcpj6.png,NB_P7_I,Gemini (NanoBanana),Inclusive Prompts,P7,NB_P7,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 7/Gemini_Generated_Image_aewf7zaewf7zaewf.png,NB_P7_N,Gemini (NanoBanana),Neutral Prompts,P7,NB_P7,True
Inclusive Prompts/Gemini (NanoBanana)/Inclusive prompt 8/Gemini_Generated_Image_8zn1jl8zn1jl8zn1.png,NB_P8_I,Gemini (NanoBanana),Inclusive Prompts,P8,NB_P8,True
Neutral Prompts/Gemini (NanoBanana)/Neutral Prompt 8/Gemini_Generated_Image_h85m79h85m79h85m.png,NB_P8_N,Gemini (NanoBanana),Neutral Prompts,P8,NB_P8,True
Inclusive Prompts/Midjourney/Inclusive prompt 1/Kauandugi_A_diverse_group_of_university_students_attending_a__d7a70fb4-bb0f-4796-ad34-577a472b7502_2.png,MJD_P1_I,Midjourney,Inclusive Prompts,P1,MJD_P1,True
Neutral Prompts/Midjourney/Neutral Prompt 1/Kauandugi_A_group_of_university_students_attending_a_lecture__270afee8-8dd8-481c-9621-84b0f1352ca5_0.png,MJD_P1_N,Midjourney,Neutral Prompts,P1,MJD_P1,True
Inclusive Prompts/Midjourney/Inclusive prompt 2/Kauandugi_Students_of_diverse_backgrounds_studying_together_a_98a7dfd5-3d30-446b-a169-f8a2008350ca_0.png,MJD_P2_I,Midjourney,Inclusive Prompts,P2,MJD_P2,True
Neutral Prompts/Midjourney/Neutral Prompt 2/Kauandugi_Students_studying_together_at_a_university_library__4ed55524-f0b0-45a5-a6fb-7f0aaf762d53_1.png,MJD_P2_N,Midjourney,Neutral Prompts,P2,MJD_P2,True
Inclusive Prompts/Midjourney/Inclusive prompt 3/Kauandugi_Students_playing_futsal_on_a_university_indoor_cour_9f2c7c1b-f4c2-4cd6-ad9d-d908732c337b_3.png,MJD_P3_I,Midjourney,Inclusive Prompts,P3,MJD_P3,True
Neutral Prompts/Midjourney/Neutral Prompt 3/Kauandugi_Students_playing_futsal_on_a_university_indoor_cour_fd973733-d023-4495-8e5b-9c46f6d6d4a2_3.png,MJD_P3_N,Midjourney,Neutral Prompts,P3,MJD_P3,True
Inclusive Prompts/Midjourney/Inclusive prompt 4/Kauandugi_A_diverse_group_of_students_walking_and_talking_on__4d39e928-913c-4fd6-b1c7-941b936f7d0d_2.png,MJD_P4_I,Midjourney,Inclusive Prompts,P4,MJD_P4,True
Neutral Prompts/Midjourney/Neutral Prompt 4/Kauandugi_Students_walking_and_talking_on_a_university_campus_54a52e19-b34f-4ef8-ac79-f843ba07f2f0_0.png,MJD_P4_N,Midjourney,Neutral Prompts,P4,MJD_P4,True
Inclusive Prompts/Midjourney/Inclusive prompt 5/Kauandugi_A_multicultural_gender-diverse_group_of_students_co_b5ef033d-8876-418b-b4ad-eaac59167e5b_0.png,MJD_P5_I,Midjourney,Inclusive Prompts,P5,MJD_P5,True
Neutral Prompts/Midjourney/Neutral Prompt 5/Kauandugi_A_group_of_students_collaborating_on_a_project_arou_ce75684f-cd75-4c9c-8c84-48b02f44dcb3_1.png,MJD_P5_N,Midjourney,Neutral Prompts,P5,MJD_P5,True
Inclusive Prompts/Midjourney/Inclusive prompt 6/Kauandugi_Students_participating_in_a_university_cultural_fai_e6f3e656-557f-4125-8e90-8be1441c742e_2.png,MJD_P6_I,Midjourney,Inclusive Prompts,P6,MJD_P6,True
Neutral Prompts/Midjourney/Neutral Prompt 6/Kauandugi_Students_participating_in_a_university_cultural_fai_f78c34d4-5e7a-4b0c-8e35-c6a9bceedb55_2.png,MJD_P6_N,Midjourney,Neutral Prompts,P6,MJD_P6,True
Inclusive Prompts/Midjourney/Inclusive prompt 7/Kauandugi_A_group_of_students_relaxing_and_chatting_in_a_camp_02fe41de-7f94-489d-b6b2-b3abeac4d486_1.png,MJD_P7_I,Midjourney,Inclusive Prompts,P7,MJD_P7,True
Neutral Prompts/Midjourney/Neutral Prompt 7/Kauandugi_Students_relaxing_and_chatting_in_a_campus_common_a_d19b942d-4196-43fd-bf57-4fc495bea70d_0.png,MJD_P7_N,Midjourney,Neutral Prompts,P7,MJD_P7,True
Inclusive Prompts/Midjourney/Inclusive prompt 8/Kauandugi_A_student_approaching_an_information_desk_at_a_univ_cec690e6-2260-41e4-885f-ec4dee96baf9_1.png,MJD_P8_I,Midjourney,Inclusive Prompts,P8,MJD_P8,True
Neutral Prompts/Midjourney/Neutral Prompt 8/Kauandugi_A_student_approaching_an_information_desk_at_a_univ_16c95386-93d9-4f77-975f-db840e671d31_2.png,MJD_P8_N,Midjourney,Neutral Prompts,P8,MJD_P8,True
Inclusive Prompts/Whisk/Inclusive prompt 1/Whisk_a428c9bb73afd58977149195ee847846dr.jpeg,WHISK_P1_I,Whisk,Inclusive Prompts,P1,WHISK_P1,True
Neutral Prompts/Whisk/Neutral Prompt 1/Whisk_167dc424ddd764e83dd4d5917fb525efdr.jpeg,WHISK_P1_N,Whisk,Neutral Prompts,P1,WHISK_P1,True
Inclusive Prompts/Whisk/Inclusive prompt 2/Whisk_c219bdc14ff1d3584d54b2a813f5edc4dr.jpeg,WHISK_P2_I,Whisk,Inclusive Prompts,P2,WHISK_P2,True
Neutral Prompts/Whisk/Neutral Prompt 2/Whisk_51b56bc3e18ee479636437ea959d8748dr.jpeg,WHISK_P2_N,Whisk,Neutral Prompts,P2,WHISK_P2,True
Inclusive Prompts/Whisk/Inclusive prompt 3/Whisk_78a9375e3092fdfa1bd45b90c2784563dr (1).jpeg,WHISK_P3_I,Whisk,Inclusive Prompts,P3,WHISK_P3,True
Neutral Prompts/Whisk/Neutral Prompt 3/Whisk_7d68788cce93066a2b8405711ac62cfadr.jpeg,WHISK_P3_N,Whisk,Neutral Prompts,P3,WHISK_P3,True
Inclusive Prompts/Whisk/Inclusive prompt 4/Whisk_69801182dc7f8dd9bd84e373e928732fdr.jpeg,WHISK_P4_I,Whisk,Inclusive Prompts,P4,WHISK_P4,True
Neutral Prompts/Whisk/Neutral Prompt 4/Whisk_5fa4efefa1adc1d8fa146e3d625e7465dr.jpeg,WHISK_P4_N,Whisk,Neutral Prompts,P4,WHISK_P4,True
Inclusive Prompts/Whisk/Inclusive prompt 5/Whisk_21095ceeae4731580da4839db92b9b93dr (1).jpeg,WHISK_P5_I,Whisk,Inclusive Prompts,P5,WHISK_P5,True
Neutral Prompts/Whisk/Neutral Prompt 5/Whisk_ab8dd75b3014204b93a40c835d0942f1dr.jpeg,WHISK_P5_N,Whisk,Neutral Prompts,P5,WHISK_P5,True
Inclusive Prompts/Whisk/Inclusive prompt 6/Whisk_95319f7d65d0ce89b204221fe6b09e5cdr.jpeg,WHISK_P6_I,Whisk,Inclusive Prompts,P6,WHISK_P6,True
Neutral Prompts/Whisk/Neutral Prompt 6/Whisk_c1853c9b159e6f7ae7746723da85e630dr.jpeg,WHISK_P6_N,Whisk,Neutral Prompts,P6,WHISK_P6,True
Inclusive Prompts/Whisk/Inclusive prompt 7/Whisk_165d8547e6ba7c2b5004bce4ef276793dr.jpeg,WHISK_P7_I,Whisk,Inclusive Prompts,P7,WHISK_P7,True
Neutral Prompts/Whisk/Neutral Prompt 7/Whisk_a64a5aca277ef74b7eb410178576f7dcdr.jpeg,WHISK_P7_N,Whisk,Neutral Prompts,P7,WHISK_P7,True
Inclusive Prompts/Whisk/Inclusive prompt 8/Whisk_4c06cf48cc1c1099fbb4e8ea146a2748dr.jpeg,WHISK_P8_I,Whisk,Inclusive Prompts,P8,WHISK_P8,True
Neutral Prompts/Whisk/Neutral Prompt 8/Whisk_c5b0c0eb5918523956b418b763f64a36dr.jpeg,WHISK_P8_N,Whisk,Neutral Prompts,P8,WHISK_P8,True
